symbol,pip_size,pip_round,pip_price_%,contractId,lastPrice,bid1,ask1,volume24,amount24,holdVol,lower24Price,high24Price,riseFallRate,riseFallValue,indexPrice,fairPrice,fundingRate,maxBidPrice,minAskPrice,timestamp,riseFallRates,riseFallRatesOfTimezone
LDO_USDT,0.0001,4,0.01152,266,0.8683,0.8676,0.8677,8310345,7262395.7922,6999065,0.8546,0.8983,-0.0134,-0.0118,0.8687,0.8683,-0.000113,1.0424,0.6949,1743334332414,"{'zone': 'UTC+8', 'r': -0.0134, 'v': -0.0118, 'r7': -0.1441, 'r30': -0.3605, 'r90': -0.5146, 'r180': -0.3247, 'r365': -0.6974}","[-0.0222, -0.005, -0.0134]"
LTC_USDT,0.01,2,0.01162,14,86.13,86.08,86.09,69069994,59160987.0153,17869362,84.09,86.97,0.0018,0.16,86.13,86.13,4.6e-05,94.74,77.51,1743334332355,"{'zone': 'UTC+8', 'r': 0.0018, 'v': 0.16, 'r7': -0.0519, 'r30': -0.3306, 'r90': -0.1451, 'r180': 0.2944, 'r365': -0.1746}","[0.0043, 0.0089, 0.0018]"
ORDI_USDT,0.001,3,0.01207,406,8.289,8.282,8.283,11253164,9310716.2649,6676870,8.029,8.557,-0.0045,-0.038,8.288,8.288,3.9e-05,9.945,6.63,1743334332417,"{'zone': 'UTC+8', 'r': -0.0045, 'v': -0.038, 'r7': -0.1801, 'r30': -0.3476, 'r90': -0.6903, 'r180': -0.7824, 'r365': -0.8694}","[-0.0209, 0.0087, -0.0045]"
ONDO_USDT,0.0001,4,0.01244,529,0.8042,0.8037,0.8038,7741115,61820318.51,2481510,0.7777,0.8134,0.0182,0.0144,0.8046,0.8043,-0.000184,0.9655,0.6436,1743334332353,"{'zone': 'UTC+8', 'r': 0.0182, 'v': 0.0144, 'r7': -0.0317, 'r30': -0.1829, 'r90': -0.4358, 'r180': 0.0636, 'r365': -0.0818}","[0.0101, 0.0076, 0.0182]"
WLD_USDT,0.0001,4,0.01265,452,0.7913,0.7904,0.7905,76358417,59730003.2328,13003337,0.7625,0.8038,0.0082,0.0065,0.7911,0.7911,5.4e-05,0.9493,0.6328,1743334332371,"{'zone': 'UTC+8', 'r': 0.0082, 'v': 0.0065, 'r7': -0.0473, 'r30': -0.3221, 'r90': -0.6373, 'r180': -0.5806, 'r365': -0.9022}","[-0.0065, 0.0167, 0.0082]"
PI_USDT,0.0001,4,0.01304,1048,0.7669,0.7668,0.7669,115657246,91481358.994,17112747,0.7604,0.8294,-0.0315,-0.025,0.7667,0.7667,-3.3e-05,0.92,0.6133,1743334332321,"{'zone': 'UTC+8', 'r': -0.0315, 'v': -0.025, 'r7': -0.2327, 'r30': -0.7055}","[-0.0741, -0.0472, -0.0315]"
IO_USDT,0.0001,4,0.01306,599,0.7668,0.7657,0.7659,1140197,862349.5615,1401260,0.7315,0.7771,0.0183,0.0138,0.7669,0.7668,5e-05,0.9202,0.6135,1743334332619,"{'zone': 'UTC+8', 'r': 0.0183, 'v': 0.0138, 'r7': -0.0696, 'r30': -0.3865, 'r90': -0.734, 'r180': -0.6215}","[-0.0055, 0.0234, 0.0183]"
OP_USDT,0.0001,4,0.01315,259,0.7605,0.7603,0.7604,17117262,13187536.5038,7738915,0.752,0.795,-0.016,-0.0124,0.761,0.7609,-0.0002,0.9132,0.6088,1743334332372,"{'zone': 'UTC+8', 'r': -0.016, 'v': -0.0124, 'r7': -0.1106, 'r30': -0.3257, 'r90': -0.587, 'r180': -0.5703, 'r365': -0.7897}","[-0.0411, -0.007, -0.016]"
BEAMX_USDT,0.000001,6,0.0134,495,0.007469,0.007464,0.007465,445026,3302857.72,232292,0.007135,0.007715,-0.0152,-0.000116,0.007479,0.00747,-0.000242,0.008974,0.005983,1743334332571,"{'zone': 'UTC+8', 'r': -0.0152, 'v': -0.000116, 'r7': -0.092, 'r30': -0.1272, 'r90': -0.7242, 'r180': -0.6115, 'r365': -0.7854}","[0.0167, 0.0177, -0.0152]"
PEPE_USDT,0.000000001,9,0.01416,384,7.068e-06,7.062e-06,7.063e-06,2934589,212580379.1,352530,7.01e-06,7.52e-06,-0.0308,-2.25e-07,7.069e-06,7.068e-06,-9.3e-05,8.482e-06,5.655e-06,1743334332324,"{'zone': 'UTC+8', 'r': -0.0308, 'v': -2.25e-07, 'r7': -0.0218, 'r30': -0.1608, 'r90': -0.6158, 'r180': -0.3396, 'r365': -0.0728}","[-0.0579, -0.0202, -0.0308]"
ADA_USDT,0.0001,4,0.01478,27,0.6768,0.6763,0.6764,534486258,359317492.6191,53564750,0.6582,0.687,0.009,0.0061,0.6769,0.6768,1.4e-05,0.7445,0.6092,1743334332322,"{'zone': 'UTC+8', 'r': 0.009, 'v': 0.0061, 'r7': -0.0369, 'r30': 0.0165, 'r90': -0.2336, 'r180': 0.7885, 'r365': 0.041}","[0.0099, 0.0063, 0.009]"
KAS_USDT,0.00001,5,0.01524,309,0.06562,0.06562,0.06563,358633,23073491.03,253772,0.06259,0.06711,0.024,0.00154,0.06571,0.06562,-0.000204,0.07885,0.05256,1743334332411,"{'zone': 'UTC+8', 'r': 0.024, 'v': 0.00154, 'r7': -0.1706, 'r30': -0.2351, 'r90': -0.4464, 'r180': -0.5884, 'r365': -0.5278}","[0.0229, 0.0178, 0.024]"
AR_USDT,0.001,3,0.01538,167,6.501,6.5,6.501,4092366,2595980.2635,2294287,6.131,6.675,0.0284,0.18,6.507,6.504,-6.8e-05,7.808,5.205,1743334332559,"{'zone': 'UTC+8', 'r': 0.0284, 'v': 0.18, 'r7': -0.0953, 'r30': -0.2367, 'r90': -0.606, 'r180': -0.7143, 'r365': -0.8389}","[-0.0224, 0.0399, 0.0284]"
